OpenTime,Position,Symbol,Type,Volume,OpenPrice,S / L,T / P,CloseTime,ClosePrice,Commission,Swap,Profit,Comment,_open_dt,_close_dt,_pnl,_strategy,_hold_minutes,CumPnL,Equity,Drawdown_pct
2026.01.12 14:38:49,1404607721,XAUUSD,sell,0.06,4 603.86,4 620.30,4 587.32,2026.01.12 15:26:04,4 620.58,-0.42,0,-100.32,Inv_Chandelier_p,2026-01-12 14:38:49,2026-01-12 15:26:04,-100.32,Chandelier STRAT,47.25,145.39999999999995,10145.4,-7.563700000000008
2026.01.12 14:38:51,1404607632,XAUUSD,sell,0.06,4 604.43,4 605.02,4 588.16,2026.01.12 14:51:22,4 604.89,-0.42,0,-2.76,Inv_ATRtrail_pen,2026-01-12 14:38:51,2026-01-12 14:51:22,-2.76,ATR-Trailing STRAT,12.516666666666667,142.63999999999996,10142.64,-7.59130000000001
2026.01.13 01:04:38,1405491270,XAUUSD,buy,0.08,4 581.82,4 586.32,4 594.02,2026.01.13 01:11:19,4 594.14,-0.56,0,98.56,Inv_Chandelier_p,2026-01-13 01:04:38,2026-01-13 01:11:19,98.56,Chandelier STRAT,6.683333333333334,241.19999999999996,10241.2,-6.605699999999998
2026.01.13 01:17:22,1405516978,XAUUSD,buy,0.13,4 589.08,4 581.59,4 596.73,2026.01.13 01:30:03,4 580.86,-0.92,0,-106.86,Inv_Chandelier_p,2026-01-13 01:17:22,2026-01-13 01:30:03,-106.86,Chandelier STRAT,12.683333333333334,134.33999999999997,10134.34,-7.674300000000003
2026.01.13 01:18:14,1405516905,XAUUSD,buy,0.13,4 587.53,4 580.31,4 595.45,2026.01.13 01:30:03,4 580.86,-0.92,0,-86.71,Inv_ATRtrail_pen,2026-01-13 01:18:14,2026-01-13 01:30:03,-86.71,ATR-Trailing STRAT,11.816666666666666,47.62999999999998,10047.63,-8.541400000000014
2026.01.13 14:07:21,1406610322,XAUUSD,sell,0.15,4 612.97,4 619.10,4 606.54,2026.01.13 14:14:56,4 619.14,-1.06,0,-92.55,Inv_Chandelier_p,2026-01-13 14:07:21,2026-01-13 14:14:56,-92.55,Chandelier STRAT,7.583333333333333,-44.920000000000016,9955.08,-9.466900000000004
2026.01.13 14:07:34,1406610315,XAUUSD,sell,0.15,4 614.22,4 615.97,4 607.59,2026.01.13 14:11:40,4 615.95,-1.06,0,-25.95,Inv_ATRtrail_pen,2026-01-13 14:07:34,2026-01-13 14:11:40,-25.95,ATR-Trailing STRAT,4.1,-70.87000000000002,9929.13,-9.726400000000012
2026.01.14 00:03:36,1407674497,XAUUSD,sell,0.22,4 602.08,4 606.15,4 597.85,2026.01.14 00:07:38,4 606.55,-1.54,0,-98.34,Inv_Chandelier_p,2026-01-14 00:03:36,2026-01-14 00:07:38,-98.34,Chandelier STRAT,4.033333333333333,-169.21000000000004,9830.79,-10.709799999999996
2026.01.14 00:04:56,1407674494,XAUUSD,sell,0.09,4 603.28,4 613.25,4 592.45,2026.01.14 01:00:56,4 613.56,-0.64,0,-92.52,Inv_ATRtrail_pen,2026-01-14 00:04:56,2026-01-14 01:00:56,-92.52,ATR-Trailing STRAT,56.0,-261.73,9738.27,-11.635
2026.01.14 06:08:48,1408097405,XAUUSD,sell,0.11,4 626.89,4 634.80,4 618.82,2026.01.14 06:14:21,4 634.94,-0.78,0,-88.55,Inv_Chandelier_p,2026-01-14 06:08:48,2026-01-14 06:14:21,-88.55,Chandelier STRAT,5.55,-350.28000000000003,9649.72,-12.520500000000013
